count,eval_split,label_group,num_records,policy_name,rate,retriever,selected_strategy
1,test,ambiguous,1,refined_label_rule_model_policy,1.0,bm25,llm
12,test,context_boundary_issue,12,refined_label_rule_model_policy,1.0,bm25,llm
14,test,entity_mismatch,24,refined_label_rule_model_policy,0.5833333333333334,bm25,llm
10,test,entity_mismatch,24,refined_label_rule_model_policy,0.4166666666666667,bm25,original
63,test,lexical_mismatch,65,refined_label_rule_model_policy,0.9692307692307692,bm25,llm
2,test,lexical_mismatch,65,refined_label_rule_model_policy,0.03076923076923077,bm25,original
76,test,missing_key_term,81,refined_label_rule_model_policy,0.9382716049382716,bm25,llm
5,test,missing_key_term,81,refined_label_rule_model_policy,0.06172839506172839,bm25,original
90,test,numeric_temporal_mismatch,100,refined_label_rule_model_policy,0.9,bm25,llm
10,test,numeric_temporal_mismatch,100,refined_label_rule_model_policy,0.1,bm25,original
14,test,unlabeled,17,refined_label_rule_model_policy,0.8235294117647058,bm25,llm
3,test,unlabeled,17,refined_label_rule_model_policy,0.17647058823529413,bm25,original
1,test,ambiguous,1,retriever_tuned_bandit_policy,1.0,bm25,llm
12,test,context_boundary_issue,12,retriever_tuned_bandit_policy,1.0,bm25,llm
24,test,entity_mismatch,24,retriever_tuned_bandit_policy,1.0,bm25,llm
61,test,lexical_mismatch,65,retriever_tuned_bandit_policy,0.9384615384615385,bm25,llm
4,test,lexical_mismatch,65,retriever_tuned_bandit_policy,0.06153846153846154,bm25,original
81,test,missing_key_term,81,retriever_tuned_bandit_policy,1.0,bm25,llm
3,test,numeric_temporal_mismatch,100,retriever_tuned_bandit_policy,0.03,bm25,keyword
84,test,numeric_temporal_mismatch,100,retriever_tuned_bandit_policy,0.84,bm25,llm
3,test,numeric_temporal_mismatch,100,retriever_tuned_bandit_policy,0.03,bm25,original
10,test,numeric_temporal_mismatch,100,retriever_tuned_bandit_policy,0.1,bm25,structured
17,test,unlabeled,17,retriever_tuned_bandit_policy,1.0,bm25,llm
1,test,ambiguous,1,state_recovery_bandit_policy,1.0,bm25,llm
12,test,context_boundary_issue,12,state_recovery_bandit_policy,1.0,bm25,llm
24,test,entity_mismatch,24,state_recovery_bandit_policy,1.0,bm25,llm
64,test,lexical_mismatch,65,state_recovery_bandit_policy,0.9846153846153847,bm25,llm
1,test,lexical_mismatch,65,state_recovery_bandit_policy,0.015384615384615385,bm25,original
81,test,missing_key_term,81,state_recovery_bandit_policy,1.0,bm25,llm
3,test,numeric_temporal_mismatch,100,state_recovery_bandit_policy,0.03,bm25,keyword
85,test,numeric_temporal_mismatch,100,state_recovery_bandit_policy,0.85,bm25,llm
12,test,numeric_temporal_mismatch,100,state_recovery_bandit_policy,0.12,bm25,original
17,test,unlabeled,17,state_recovery_bandit_policy,1.0,bm25,llm
1,test,ambiguous,1,refined_label_rule_model_policy,1.0,dense,original
1,test,context_boundary_issue,12,refined_label_rule_model_policy,0.08333333333333333,dense,expanded
11,test,context_boundary_issue,12,refined_label_rule_model_policy,0.9166666666666666,dense,llm
20,test,entity_mismatch,24,refined_label_rule_model_policy,0.8333333333333334,dense,expanded
2,test,entity_mismatch,24,refined_label_rule_model_policy,0.08333333333333333,dense,llm
2,test,entity_mismatch,24,refined_label_rule_model_policy,0.08333333333333333,dense,original
51,test,lexical_mismatch,65,refined_label_rule_model_policy,0.7846153846153846,dense,llm
14,test,lexical_mismatch,65,refined_label_rule_model_policy,0.2153846153846154,dense,original
63,test,missing_key_term,81,refined_label_rule_model_policy,0.7777777777777778,dense,llm
18,test,missing_key_term,81,refined_label_rule_model_policy,0.2222222222222222,dense,original
74,test,numeric_temporal_mismatch,100,refined_label_rule_model_policy,0.74,dense,keyword
26,test,numeric_temporal_mismatch,100,refined_label_rule_model_policy,0.26,dense,original
9,test,unlabeled,17,refined_label_rule_model_policy,0.5294117647058824,dense,keyword
8,test,unlabeled,17,refined_label_rule_model_policy,0.47058823529411764,dense,original
1,test,ambiguous,1,retriever_tuned_bandit_policy,1.0,dense,original
12,test,context_boundary_issue,12,retriever_tuned_bandit_policy,1.0,dense,llm
24,test,entity_mismatch,24,retriever_tuned_bandit_policy,1.0,dense,original
65,test,lexical_mismatch,65,retriever_tuned_bandit_policy,1.0,dense,original
81,test,missing_key_term,81,retriever_tuned_bandit_policy,1.0,dense,original
100,test,numeric_temporal_mismatch,100,retriever_tuned_bandit_policy,1.0,dense,original
17,test,unlabeled,17,retriever_tuned_bandit_policy,1.0,dense,original
1,test,ambiguous,1,state_recovery_bandit_policy,1.0,dense,expanded
11,test,context_boundary_issue,12,state_recovery_bandit_policy,0.9166666666666666,dense,expanded
1,test,context_boundary_issue,12,state_recovery_bandit_policy,0.08333333333333333,dense,original
24,test,entity_mismatch,24,state_recovery_bandit_policy,1.0,dense,llm
32,test,lexical_mismatch,65,state_recovery_bandit_policy,0.49230769230769234,dense,expanded
7,test,lexical_mismatch,65,state_recovery_bandit_policy,0.1076923076923077,dense,llm
26,test,lexical_mismatch,65,state_recovery_bandit_policy,0.4,dense,original
35,test,missing_key_term,81,state_recovery_bandit_policy,0.43209876543209874,dense,expanded
46,test,missing_key_term,81,state_recovery_bandit_policy,0.5679012345679012,dense,original
7,test,numeric_temporal_mismatch,100,state_recovery_bandit_policy,0.07,dense,expanded
23,test,numeric_temporal_mismatch,100,state_recovery_bandit_policy,0.23,dense,keyword
16,test,numeric_temporal_mismatch,100,state_recovery_bandit_policy,0.16,dense,llm
53,test,numeric_temporal_mismatch,100,state_recovery_bandit_policy,0.53,dense,original
1,test,numeric_temporal_mismatch,100,state_recovery_bandit_policy,0.01,dense,structured
17,test,unlabeled,17,state_recovery_bandit_policy,1.0,dense,original
1,test,ambiguous,1,refined_label_rule_model_policy,1.0,hybrid,expanded
12,test,context_boundary_issue,12,refined_label_rule_model_policy,1.0,hybrid,expanded
22,test,entity_mismatch,24,refined_label_rule_model_policy,0.9166666666666666,hybrid,llm
2,test,entity_mismatch,24,refined_label_rule_model_policy,0.08333333333333333,hybrid,original
59,test,lexical_mismatch,65,refined_label_rule_model_policy,0.9076923076923077,hybrid,llm
6,test,lexical_mismatch,65,refined_label_rule_model_policy,0.09230769230769231,hybrid,original
72,test,missing_key_term,81,refined_label_rule_model_policy,0.8888888888888888,hybrid,expanded
9,test,missing_key_term,81,refined_label_rule_model_policy,0.1111111111111111,hybrid,original
82,test,numeric_temporal_mismatch,100,refined_label_rule_model_policy,0.82,hybrid,keyword
3,test,numeric_temporal_mismatch,100,refined_label_rule_model_policy,0.03,hybrid,llm
15,test,numeric_temporal_mismatch,100,refined_label_rule_model_policy,0.15,hybrid,original
6,test,unlabeled,17,refined_label_rule_model_policy,0.35294117647058826,hybrid,keyword
11,test,unlabeled,17,refined_label_rule_model_policy,0.6470588235294118,hybrid,llm
1,test,ambiguous,1,retriever_tuned_bandit_policy,1.0,hybrid,expanded
12,test,context_boundary_issue,12,retriever_tuned_bandit_policy,1.0,hybrid,expanded
24,test,entity_mismatch,24,retriever_tuned_bandit_policy,1.0,hybrid,llm
28,test,lexical_mismatch,65,retriever_tuned_bandit_policy,0.4307692307692308,hybrid,expanded
4,test,lexical_mismatch,65,retriever_tuned_bandit_policy,0.06153846153846154,hybrid,keyword
30,test,lexical_mismatch,65,retriever_tuned_bandit_policy,0.46153846153846156,hybrid,llm
3,test,lexical_mismatch,65,retriever_tuned_bandit_policy,0.046153846153846156,hybrid,original
79,test,missing_key_term,81,retriever_tuned_bandit_policy,0.9753086419753086,hybrid,expanded
2,test,missing_key_term,81,retriever_tuned_bandit_policy,0.024691358024691357,hybrid,original
10,test,numeric_temporal_mismatch,100,retriever_tuned_bandit_policy,0.1,hybrid,expanded
22,test,numeric_temporal_mismatch,100,retriever_tuned_bandit_policy,0.22,hybrid,keyword
65,test,numeric_temporal_mismatch,100,retriever_tuned_bandit_policy,0.65,hybrid,llm
2,test,numeric_temporal_mismatch,100,retriever_tuned_bandit_policy,0.02,hybrid,original
1,test,numeric_temporal_mismatch,100,retriever_tuned_bandit_policy,0.01,hybrid,structured
