dataset,qid,question_type,question,answer,gold_doc_id,gold_rank,top10_doc_ids,failed_retrievers,failure_type,failure_label,secondary_failure_label,needs_gold_check,annotation_note,annotator,annotated
korquad1,korquad1_dev_q_000648,other,한남대교가 만들어진 해는?,1969년,korquad1_dev_000092,,"[""korquad1_dev_000210"", ""korquad1_dev_000267"", ""korquad1_dev_000284"", ""korquad1_dev_000067"", ""korquad1_dev_000246"", ""korquad1_dev_000895"", ""korquad1_dev_000191"", ""korquad1_dev_000489"", ""korquad1_dev_000230"", ""korquad1_dev_000066""]","[""dense"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_000656,other,한국에서 가장 오래된 아파트는?,충정아파트,korquad1_dev_000093,,"[""korquad1_dev_000088"", ""korquad1_dev_000081"", ""korquad1_dev_000092"", ""korquad1_dev_000655"", ""korquad1_dev_000560"", ""korquad1_dev_000089"", ""korquad1_dev_000078"", ""korquad1_dev_000080"", ""korquad1_dev_000079"", ""korquad1_dev_000077""]","[""bm25"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_000694,why,"워싱턴 주, 벨뷰에서 행사를 개최한 이유는?",개발자 채용,korquad1_dev_000099,,"[""korquad1_dev_000922"", ""korquad1_dev_000168"", ""korquad1_dev_000920"", ""korquad1_dev_000748"", ""korquad1_dev_000807"", ""korquad1_dev_000809"", ""korquad1_dev_000925"", ""korquad1_dev_000813"", ""korquad1_dev_000788"", ""korquad1_dev_000166""]","[""dense"", ""hybrid""]",unlabeled,,,False,,,False
korquad1,korquad1_dev_q_001446,who,정도전이 은둔생활을 하게된 계기가 된 인물의 이름은 무엇인가?,신돈,korquad1_dev_000224,,"[""korquad1_dev_000228"", ""korquad1_dev_000230"", ""korquad1_dev_000234"", ""korquad1_dev_000231"", ""korquad1_dev_000645"", ""korquad1_dev_000233"", ""korquad1_dev_000232"", ""korquad1_dev_000368"", ""korquad1_dev_000229"", ""korquad1_dev_000227""]","[""dense"", ""hybrid""]",expression_mismatch,,,False,,,False
korquad1,korquad1_dev_q_001448,other,정도전이 관직에 나간 년도는?,1363년,korquad1_dev_000224,,"[""korquad1_dev_000234"", ""korquad1_dev_000228"", ""korquad1_dev_000230"", ""korquad1_dev_000232"", ""korquad1_dev_000233"", ""korquad1_dev_000229"", ""korquad1_dev_000223"", ""korquad1_dev_000227"", ""korquad1_dev_000198"", ""korquad1_dev_000231""]","[""dense"", ""hybrid""]",ellipsis,,,False,,,False
korquad1,korquad1_dev_q_001523,other,용감한 형제 1집에서 2번 트랙은 일렉트로보이즈와 누가 같이 불렀나?,다비치,korquad1_dev_000235,,"[""korquad1_dev_000356"", ""korquad1_dev_000432"", ""korquad1_dev_000921"", ""korquad1_dev_000365"", ""korquad1_dev_000863"", ""korquad1_dev_000137"", ""korquad1_dev_000340"", ""korquad1_dev_000367"", ""korquad1_dev_000431"", ""korquad1_dev_000435""]","[""bm25"", ""dense"", ""hybrid""]",temporal_numeric,,,False,,,False
korquad1,korquad1_dev_q_001524,other,용감한  형제 1집의 4번 트랙 노래 제목은?,울고싶단 말야,korquad1_dev_000235,,"[""korquad1_dev_000236"", ""korquad1_dev_000143"", ""korquad1_dev_000567"", ""korquad1_dev_000538"", ""korquad1_dev_000138"", ""korquad1_dev_000692"", ""korquad1_dev_000682"", ""korquad1_dev_000436"", ""korquad1_dev_000139"", ""korquad1_dev_000149""]","[""bm25"", ""hybrid""]",temporal_numeric,,,False,,,False
korquad1,korquad1_dev_q_001568,what,전현희가 졸업한 고등학교 이름은 무엇인가?,데레사여자고등학교를,korquad1_dev_000242,,"[""korquad1_dev_000023"", ""korquad1_dev_000586"", ""korquad1_dev_000629"", ""korquad1_dev_000248"", ""korquad1_dev_000660"", ""korquad1_dev_000920"", ""korquad1_dev_000518"", ""korquad1_dev_000829"", ""korquad1_dev_000061"", ""korquad1_dev_000725""]","[""bm25"", ""hybrid""]",unlabeled,,,False,,,False
korquad1,korquad1_dev_q_001579,other,군사 훈련소에서 강제 퇴소될 당시의 병명은?,기관지확장증,korquad1_dev_000243,,"[""korquad1_dev_000003"", ""korquad1_dev_000779"", ""korquad1_dev_000742"", ""korquad1_dev_000743"", ""korquad1_dev_000233"", ""korquad1_dev_000826"", ""korquad1_dev_000790"", ""korquad1_dev_000768"", ""korquad1_dev_000576"", ""korquad1_dev_000934""]","[""dense"", ""hybrid""]",unlabeled,,,False,,,False
korquad1,korquad1_dev_q_001802,numeric,금강산 관광지구에서 피격당한 박왕자씨는 당시 몇 살이었는가?,만 53세,korquad1_dev_000272,,"[""korquad1_dev_000041"", ""korquad1_dev_000042"", ""korquad1_dev_000034"", ""korquad1_dev_000040"", ""korquad1_dev_000035"", ""korquad1_dev_000245"", ""korquad1_dev_000039"", ""korquad1_dev_000033"", ""korquad1_dev_000036"", ""korquad1_dev_000310""]","[""bm25"", ""hybrid""]",unlabeled,,,False,,,False
