qid,dataset,question,failure_label,secondary_failure_label,rewrite_type,query
klue_mrc_validation_q_000001,klue_mrc,사고 비행기의 목적지는?,missing_key_term,,original,사고 비행기의 목적지는?
klue_mrc_validation_q_000001,klue_mrc,사고 비행기의 목적지는?,missing_key_term,,keyword_rewrite,비행기 목적지 사고 이유 원인
klue_mrc_validation_q_000001,klue_mrc,사고 비행기의 목적지는?,missing_key_term,,semantic_rewrite,생략된 대상과 의도를 명확히 하여 이유·원인를 찾는 질문: 사고 비행기의 목적지는?
klue_mrc_validation_q_000001,klue_mrc,사고 비행기의 목적지는?,missing_key_term,,structured_rewrite,대상: 비행기 목적지 사고 / 조건: 요구정보 / 대상 명확화 / 질문유형: 이유·원인
klue_mrc_validation_q_000001,klue_mrc,사고 비행기의 목적지는?,missing_key_term,,llm_rewrite,사고 난 비행기의 최종 목적지 정보
klue_mrc_validation_q_000010,klue_mrc,가공하는데 몇 초밖에 걸리지 않는 물질은?,numeric_temporal_mismatch,missing_key_term,original,가공하는데 몇 초밖에 걸리지 않는 물질은?
klue_mrc_validation_q_000010,klue_mrc,가공하는데 몇 초밖에 걸리지 않는 물질은?,numeric_temporal_mismatch,missing_key_term,keyword_rewrite,가공하는데 걸리지 초밖 않는 물질 몇 숫자 날짜 연도 순위 숫자 시간 정보
klue_mrc_validation_q_000010,klue_mrc,가공하는데 몇 초밖에 걸리지 않는 물질은?,numeric_temporal_mismatch,missing_key_term,semantic_rewrite,몇 년·언제·몇 위·몇 명 같은 조건을 명확히 하여 숫자·시간 정보를 찾는 질문: 가공하는데 몇 초밖에 걸리지 않는 물질은?
klue_mrc_validation_q_000010,klue_mrc,가공하는데 몇 초밖에 걸리지 않는 물질은?,numeric_temporal_mismatch,missing_key_term,structured_rewrite,대상: 가공하는데 걸리지 초밖 않는 / 조건: 몇 초밖 / 질문유형: 숫자·시간 정보
klue_mrc_validation_q_000010,klue_mrc,가공하는데 몇 초밖에 걸리지 않는 물질은?,numeric_temporal_mismatch,missing_key_term,llm_rewrite,가공 시간이 몇 초밖에 걸리지 않는 물질 종류
