qid,question,answer,gold_doc_id,current_failure_type,suggested_manual_label,confidence,reason,failed_retrievers,query_length,keywords,bm25_original_rank,dense_original_rank,hybrid_original_rank,manual_failure_type,is_current_label_correct,notes
6507779-3-0,2005년 8월경 NSC의 상임위원장의 이름은 무엇인가?,정동영,doc_000027,abbreviation,temporal_numeric,0.9,"Question contains a date, number, or count expression.",dense,6,2005년 상임위원장 8월경 nsc 무엇인 이름,1,>10,1,,,
6581515-20-0,일본 세 번째 정규앨범 Face Yourself는 총 몇 곡이 실려있나?,12곡,doc_000545,compound_noun,abbreviation_or_foreign_term,0.8,Question contains Latin alphabet terms that can cause lexical mismatch.,dense,10,yourself 정규앨범 face 실려있나 일본 번째 곡이,1,>10,1,,,
6478462-0-1,금강산의 총 면적은?,530제곱킬로미터,doc_000034,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25,3,금강산 면적,>10,1,8,,,
6507779-0-1,반기문이 미국 연수에서 만난 미국 대통령의 이름은 무엇인가?,존 F. 케네디,doc_000024,expression_mismatch,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,8,미국 반기문 대통령 무엇인 연수 만난 이름,1,>10,1,,,
6559048-11-0,제2연평해전은 몇년도에 발생했는가?,2002년,doc_000125,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",dense,3,제2연평해전 발생했는 몇년도,1,>10,1,,,
6141330-2-1,서양철학은 최근에 어디에서 유래된 것으로 형성 되었는가?,유럽,doc_000019,unlabeled,lexical_only_failure,0.7,"Dense or hybrid found the gold passage, but BM25 missed it.",bm25,7,서양철학 유래된 되었는 최근 것으 형성,>10,1,4,,,
6507936-15-1,2017년 방탄소년단이 K-pop 그룹 최초로 초청받은 시상식의 이름은?,빌보드 뮤직 어워드,doc_000540,abbreviation,temporal_numeric,0.9,"Question contains a date, number, or count expression.",dense,9,2017년 방탄소년단 pop 초청받 시상식 그룹 최초 이름,3,>10,3,,,
6260132-0-1,여름의 금강산은 무엇이라고 불리는가?,봉래산,doc_000034,ellipsis,underspecified_short_query,0.7,"Question is short, so missing context or entities may hurt retrieval.",bm25,4,금강산 무엇이 불리는 여름,>10,1,6,,,
6507769-9-1,시리아 민간인 보호를 목표로 한 안보리 결의안에 거부권을 행사한 나라는?,러시아,doc_000033,expression_mismatch,dense_only_failure,0.7,"BM25 or hybrid found the gold passage, but dense retrieval missed it.",dense,10,시리아 민간인 안보리 결의안 거부권 행사한 보호 목표,1,>10,1,,,
6575724-2-0,2009년 새 공장은 어디에 건립 되었는가?,사이타마,doc_000149,temporal_numeric,temporal_numeric,0.9,"Question contains a date, number, or count expression.",dense,6,2009년 되었는 공장 건립,1,>10,1,,,
