qid,retriever,policy_name,eval_split,state_key,selected_strategy,failure_type,original_rank,original_success,originally_failed,gold_rank,reward,policy_reward,recall@1,recall@5,recall@10,mrr,answer_f1,original_gold_rank,original_recall@10,original_mrr,original_answer_f1,original_reward,rank_improvement,recall10_improvement,mrr_improvement,answer_f1_improvement,reward_improvement,original_query_length,rewrite_query_length,keyword_overlap,semantic_similarity,bm25_initial_rank,dense_initial_rank,hybrid_initial_rank,rank_gap_bm25_dense,rank_gap_bm25_hybrid,rank_gap_dense_hybrid
6394983-9-0,bm25,original_only,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,original,ellipsis,,False,True,,0.5,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,3,6,,,3
6394983-9-0,bm25,always_keyword,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,keyword,ellipsis,,False,True,,0.35,-0.15000000000000002,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,-0.15000000000000002,4,2,0.25,0.25,,3,6,,,3
6394983-9-0,bm25,always_expanded,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,expanded,ellipsis,,False,True,,0.5,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,4,6,1.0,1.0,,3,6,,,3
6394983-9-0,bm25,always_prompt,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,prompt,ellipsis,,False,True,,0.5,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,4,10,1.0,1.0,,3,6,,,3
6394983-9-0,bm25,always_structured,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,structured,ellipsis,,False,True,,0.48,-0.020000000000000018,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,-0.020000000000000018,4,13,1.0,1.0,,3,6,,,3
6394983-9-0,bm25,always_llm,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,llm,ellipsis,,False,True,,0.35,-0.15000000000000002,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,-0.15000000000000002,4,4,0.25,0.25,,3,6,,,3
6394983-9-0,bm25,failure_type_policy,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,structured,ellipsis,,False,True,,0.48,-0.020000000000000018,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,-0.020000000000000018,4,13,1.0,1.0,,3,6,,,3
6394983-9-0,bm25,reward_selected,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,original,ellipsis,,False,True,,0.5,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,3,6,,,3
6394983-9-0,bm25,oracle_best_strategy,train,ellipsis|short|failed|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,original,ellipsis,,False,True,,0.5,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,3,6,,,3
6394983-9-0,dense,original_only,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,original,ellipsis,3,True,False,3,1.6666666666666667,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,3,1.0,0.3333333333333333,1.0,1.6666666666666667,0,0.0,0.0,0.0,0.0,4,4,1.0,1.0,,3,6,,,3
6394983-9-0,dense,always_keyword,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,keyword,ellipsis,3,True,False,6,1.4333333333333331,-0.23333333333333361,0.0,0.0,1.0,0.16666666666666666,1.0,3,1.0,0.3333333333333333,1.0,1.6666666666666667,-3,0.0,-0.16666666666666666,0.0,-0.23333333333333361,4,2,0.25,0.25,,3,6,,,3
6394983-9-0,dense,always_expanded,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,expanded,ellipsis,3,True,False,3,1.6666666666666667,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,3,1.0,0.3333333333333333,1.0,1.6666666666666667,0,0.0,0.0,0.0,0.0,4,6,1.0,1.0,,3,6,,,3
6394983-9-0,dense,always_prompt,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,prompt,ellipsis,3,True,False,2,1.75,0.08333333333333326,0.0,1.0,1.0,0.5,1.0,3,1.0,0.3333333333333333,1.0,1.6666666666666667,1,0.0,0.16666666666666669,0.0,0.08333333333333326,4,10,1.0,1.0,,3,6,,,3
6394983-9-0,dense,always_structured,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,structured,ellipsis,3,True,False,2,1.73,0.06333333333333324,0.0,1.0,1.0,0.5,1.0,3,1.0,0.3333333333333333,1.0,1.6666666666666667,1,0.0,0.16666666666666669,0.0,0.06333333333333324,4,13,1.0,1.0,,3,6,,,3
6394983-9-0,dense,always_llm,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,llm,ellipsis,3,True,False,2,1.6,-0.06666666666666665,0.0,1.0,1.0,0.5,1.0,3,1.0,0.3333333333333333,1.0,1.6666666666666667,1,0.0,0.16666666666666669,0.0,-0.06666666666666665,4,4,0.25,0.25,,3,6,,,3
6394983-9-0,dense,failure_type_policy,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,structured,ellipsis,3,True,False,2,1.73,0.06333333333333324,0.0,1.0,1.0,0.5,1.0,3,1.0,0.3333333333333333,1.0,1.6666666666666667,1,0.0,0.16666666666666669,0.0,0.06333333333333324,4,13,1.0,1.0,,3,6,,,3
6394983-9-0,dense,reward_selected,train,ellipsis|short|rank_2_5|failed_count_1|failed_bm25|no_digit|no_latin|no_long_token,prompt,ellipsis,3,True,False,2,1.75,0.08333333333333326,0.0,1.0,1.0,0.5,1.0,3,1.0,0.3333333333333333,1.0,1.6666666666666667,1,0.0,0.16666666666666669,0.0,0.08333333333333326,4,10,1.0,1.0,,3,6,,,3
