dataset,qid,question,failure_label,rewrite_type,rewrite_query
klue_mrc,klue_mrc_validation_q_000001,사고 비행기의 목적지는?,missing_key_term,original,사고 비행기의 목적지는?
klue_mrc,klue_mrc_validation_q_000001,사고 비행기의 목적지는?,missing_key_term,keyword,비행기 목적지 사고
klue_mrc,klue_mrc_validation_q_000001,사고 비행기의 목적지는?,missing_key_term,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 사고 비행기의 목적지는?
klue_mrc,klue_mrc_validation_q_000001,사고 비행기의 목적지는?,missing_key_term,structured,entity: 비행기 목적지 사고 | intent: 이유·원인 | constraint: missing_key_term
klue_mrc,klue_mrc_validation_q_000001,사고 비행기의 목적지는?,missing_key_term,llm,비행기 목적지 사고 이유·원인 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000010,가공하는데 몇 초밖에 걸리지 않는 물질은?,,original,가공하는데 몇 초밖에 걸리지 않는 물질은?
klue_mrc,klue_mrc_validation_q_000010,가공하는데 몇 초밖에 걸리지 않는 물질은?,,keyword,가공하는데 걸리지 초밖 않는 물질 몇
klue_mrc,klue_mrc_validation_q_000010,가공하는데 몇 초밖에 걸리지 않는 물질은?,,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 가공하는데 몇 초밖에 걸리지 않는 물질은?
klue_mrc,klue_mrc_validation_q_000010,가공하는데 몇 초밖에 걸리지 않는 물질은?,,structured,entity: 가공하는데 걸리지 초밖 | intent: 숫자·시간 정보 | constraint: 몇 초밖
klue_mrc,klue_mrc_validation_q_000010,가공하는데 몇 초밖에 걸리지 않는 물질은?,,llm,가공하는데 걸리지 초밖 않는 물질 몇 숫자·시간 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000031,소화관과 이어져있으며 허파의 역할을 맡는 장기는 무엇인가?,,original,소화관과 이어져있으며 허파의 역할을 맡는 장기는 무엇인가?
klue_mrc,klue_mrc_validation_q_000031,소화관과 이어져있으며 허파의 역할을 맡는 장기는 무엇인가?,,keyword,이어져있으며 소화관 무엇인 허파 역할 맡는 장기
klue_mrc,klue_mrc_validation_q_000031,소화관과 이어져있으며 허파의 역할을 맡는 장기는 무엇인가?,,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 소화관과 이어져있으며 허파의 역할을 맡는 장기는 무엇인가?
klue_mrc,klue_mrc_validation_q_000031,소화관과 이어져있으며 허파의 역할을 맡는 장기는 무엇인가?,,structured,entity: 이어져있으며 소화관 무엇인 | intent: 정답 정보 | constraint: high
klue_mrc,klue_mrc_validation_q_000031,소화관과 이어져있으며 허파의 역할을 맡는 장기는 무엇인가?,,llm,이어져있으며 소화관 무엇인 허파 역할 맡는 장기 정답 정보 근거 문서 검색
klue_mrc,klue_mrc_validation_q_000045,작년 대기업의 투자규모는 올해보다 얼마나 더 적었는가?,,original,작년 대기업의 투자규모는 올해보다 얼마나 더 적었는가?
klue_mrc,klue_mrc_validation_q_000045,작년 대기업의 투자규모는 올해보다 얼마나 더 적었는가?,,keyword,투자규모 대기업 얼마나 적었는 작년 올해
klue_mrc,klue_mrc_validation_q_000045,작년 대기업의 투자규모는 올해보다 얼마나 더 적었는가?,,prompt_style,다음 질문의 답을 찾기 위한 문서를 검색한다: 작년 대기업의 투자규모는 올해보다 얼마나 더 적었는가?
